phrase,is_passed
a bit,False
a bit more,False
a bit of a…,False
a bit of sth,False
a couple of sth,False
a few,False
a good idea,False
a great deal,False
a kind of...,False
a little,False
a little bit,False
a little more,False
a long time ago,False
a long way,False
a lot,False
a lot more,False
a lot of sth,False
a means of sth,False
a number of sth,False
a period of time,False
a range of sth,False
a variety of sth,False
able to do sth,False
above all,False
access to sth,False
account for sth,False
accused of sth,False
act as sth,False
add to sth,False
after all,False
again and again,False
agree with sb,False
aim to do sth,False
aimed at doing sth,False
aimed at sb,False
all about…,False
all but,False
all day,False
all kinds of…,False
all over the world,False
all over…,False
all sorts of…,False
all the more,False
all the time,False
all the way,False
along with sb/sth,False
alternative to sth,False
and so on,False
anything else,False
apart from,False
appeal to sb,False
apply for sth,False
apply to sb/sth,False
around the world,False
arrive at…,False
arrive in…,False
art gallery,False
as a result,False
as a whole,False
as far as i am concerned,False
as far as sb/sth is concerned,False
as follows…,False
as for sb/sth,False
as if…,False
as long as…,False
as much as,False
as of…,False
as opposed to,False
as part of sth,False
as soon as,False
as soon as possible,False
as such,False
as though…,False
as to,False
as well,False
ask for sth,False
associated with sth,False
at first,False
at home,False
at last,False
at least,False
at once,False
at present,False
at risk,False
at school,False
at some point,False
at the age of…,False
at the beginning of sth,False
at the end,False
at the end of sth,False
at the end of the day,False
at the expense of sb/sth,False
at the hands of sb,False
at the moment,False
at the same time,False
at the start of sth,False
at the time,False
at the time of sth,False
at the top,False
at the weekend,False
at this point,False
at this stage,False
at times,False
at university,False
at work,False
attached to sb/sth,False
awareness of sth,False
away from sb/sth,False
back and forth,False
back sb/sth up,False
bad for sb/sth,False
bad news,False
bad thing,False
based on sth,False
be about to do sth,False
be allowed to do sth,False
be attributed to sb,False
be charged with sth,False
be derived from sth,False
be entitled to sth,False
be expected to do sth,False
be found to do sth,False
be going on,False
be going to do sth,False
be known as sb/sth,False
be known to do sth,False
be made of sth,False
be made up of sth,False
be meant to do sth,False
be reported to be sth,False
be said to be sth,False
be supposed to do sth,True
be surrounded by sb/sth,False
be to blame,False
bear sb/sth in mind,False
because of,False
begin with sth,False
believe in sb/sth,False
belong to sb,False
belong to sth,False
benefit from sth,False
best friend,False
black and white,False
both sides,False
bound to do sth,False
break up,False
bring sb up,False
bring sth about,False
bring sth up,False
by means of sth,False
by no means,False
by now,False
by the end of sth,False
by the time (that)…,False
call for sth,False
call on sb,False
can't afford sth,False
car park,False
care about sth,False
care for sb,False
carry on,False
carry sth out,False
case study,False
caused by sth,False
cell phone,False
check in,False
check out,False
check sb/sth out,False
choose to do sth,False
city centre,False
clean up,False
click on sth,False
climate change,False
close to sb/sth,False
come across sb/sth,False
come back,False
come from…,False
come into sth,False
come on!,False
come true,False
come up with sth,False
compared with sth,False
concentrate on sth,False
concerned about sth,False
concerned with sth,False
confidence in sb/sth,False
connected to sth,False
connected with sb/sth,False
consist of sb/sth,False
consistent with sth,False
contribute to sth,False
control over sb/sth,False
cope with sth,False
credit card,False
deal with sb,False
deal with sth,False
decide on sth,False
decline in sth,False
dedicated to sth,False
depend on sb/sth,False
depend on sth,False
dependent on sb/sth,False
depending on,False
deprive sb/sth of sth,False
despite the fact that…,False
developing countries,False
differences between a and b,False
difficult for sb,False
dispose of sb/sth,False
do well,False
draw attention to sb/sth,False
due to sb/sth,False
each one,False
each other,False
economic growth,False
end in sth,False
end up,False
end with sth,False
engage in sth,False
engaged in sth,False
even if,False
even more…,False
even though,True
ever since,False
every day,False
everyone else,False
exactly the same,False
except for,False
excuse me,False
experience in sth,False
exposure to sth,False
fail to do sth,False
fall asleep,False
fall in love,False
fall off,False
family member,False
far away,False
far from sth,False
far more,False
far too,False
fed up,False
feel good,False
feel like sth,False
figure sb/sth out,False
fill sth in,False
find it difficult to do sth,False
find out,False
find yourself doing sth,False
first of all,False
focus on sb/sth,False
follow sth up,False
followed by sb/sth,False
for a long time,False
for a moment,False
for a while,False
for example,False
for free,False
for instance,False
for life,False
for long,False
for lunch,False
for many years,False
for some time,False
for that matter,False
for the benefit of sb,False
for the first time,False
for the rest of sth,False
for the sake of sb/sth,False
for this reason,False
get away with sth,False
get back,False
get better,False
get home,False
get in,False
get lost,False
get married,False
get off,False
get on,False
get on with sb,False
get out,False
get over sb/sth,False
get ready,False
get rid of sb/sth,False
get there,False
get to know sb,False
get to…,False
get up,False
get used to sth,False
give sth up,False
give up,False
given that…,False
global warming,False
go ahead,False
go and…,False
go away,False
go back,False
go down,False
go down sth,False
go for sth,False
go home,False
go into sth,False
go off,False
go on to do sth,False
go out,False
go through sth,False
go to bed,False
go to school,False
go to work,False
go up,False
go wrong,False
good at sth,False
good for sb/sth,False
good luck,False
good morning,False
good news,False
good thing,False
grow up,False
growth in sth,False
guess what…,False
had better,False
half an hour,False
hang on,False
happen to sb/sth,False
happy with sb/sth,False
hard work,False
have a look,False
have fun,False
have got,False
have got to,False
have no idea,False
have nothing to do with sb/sth,False
have sb/sth in mind,False
have sth in common,False
have time,False
have you ever…?,False
he or she,False
health problems,False
hear about sb/sth,False
hear of sb/sth,True
heart disease,False
high school,False
high street,False
higher education,False
his or her,False
how about…?,False
how are you?,False
how long…?,False
how many…?,False
how much…?,False
how often…?,False
human being,False
human rights,False
i don't care,False
i guess,False
i have to say…,False
i mean,False
i think so,False
i wonder if…,False
i would say…,False
i'm afraid…,False
i'm sorry,False
if i were you,True
if necessary,False
if only…,False
if you want to,False
important for sb/sth,False
in a position to do sth,False
in a way that…,False
in accordance with sth,False
in action,False
in addition,False
in advance,False
in an attempt to do sth,False
in any case,False
in april,True
in bed,False
in business,False
in case…,False
in charge of sb/sth,False
in class,False
in conjunction with sb/sth,False
in connection with sb/sth,False
in contrast,False
in danger,False
in effect,False
in fact,False
in favour of sb/sth,False
in front of,False
in full,False
in general,False
in history,False
in hospital,False
in line with sth,False
in love,False
in my opinion,False
in order of sth,False
in order to do sth,False
in other words,False
in part,False
in particular,False
in place,False
in practice,False
in prison,False
in public,False
in recent years,False
in relation to sb/sth,False
in respect of sth,False
in response to sth,False
in school,False
in some cases,False
in space,False
in spite of sth,False
in such a way (that)…,False
in summer,False
in terms of sth,False
in the absence of sb/sth,False
in the air,False
in the case of sth,False
in the centre,False
in the country,False
in the course of…,False
in the end,False
in the event of sth,False
in the face of sth,False
in the first place,False
in the form of sb/sth,False
in the future,False
in the hands of sb,False
in the light of sth,False
in the meantime,False
in the middle,False
in the midst of sth,False
in the morning,False
in the near future,False
in the north,False
in the past,False
in the presence of sb,False
in the same way,False
in the street,False
in the summer,False
in the wake of sb/sth,False
in the way (that)…,True
in this case,False
in this way,False
in time,False
in touch,False
in town,False
in turn,False
instead of,False
investment in sth,False
involvement in sth,False
it depends,False
it is important to do sth,False
it takes …,False
kind of sb/sth,False
know how,False
last time,False
last year,False
lead to sth,False
learn how to do sth,False
leave sb/sth out,False
less than…,False
let alone,False
let me know,False
let me…,False
likely to do sth,False
listen to sb/sth,False
little more than…,False
live on sth,False
live with sb,False
living room,False
loads of sb/sth,False
look after sb/sth/yourself,False
look at sb/sth,False
look back at sth,False
look for sb/sth,False
look forward to sth,False
look like sb/sth,False
look out,False
look sth up,False
lots of…,False
make a difference,False
make a mistake,False
make money,False
make sense,False
make sth up,False
make sure,False
manage to do sth,False
may well,False
mean to do sth,False
mental health,False
millions of…,False
mobile phone,False
more and more,False
more or less,False
more than…,False
move on,False
much better,False
next time,False
next year,False
no doubt,False
no longer,False
no matter…,False
no more than…,False
no problem,False
no way,False
not at all,False
not even,False
not necessarily,False
not only,False
not to mention,False
nothing but,False
nothing like,False
of course,False
oh dear,False
oh no!,False
oh well,False
oh yes,False
old friend,False
on a regular basis,False
on behalf of sb,False
on board,False
on earth,False
on holiday,False
on monday,False
on my own,False
on television,False
on the basis of sth,False
on the beach,False
on the floor,False
on the ground,False
on the internet,False
on the left,False
on the one hand,False
on the other hand,False
on the other side,False
on the part of sb,False
on the phone,False
on the street,False
on the wall,False
on the way,False
on time,False
on top of sth/sb,False
on tv,False
once a…,False
once again,False
one another,False
one day,False
one or two,False
opposed to sth,False
or so,False
or something,False
or two,False
ordinary people,False
other than,False
ought to,False
out of sth,False
out there,False
over the course of…,False
over the years,False
over there,False
over time,False
participate in sth,False
pay attention,False
pay for sth,False
per hour,False
phone call,False
phone number,False
pick sb/sth up,False
plan for sth,False
play with sb/sth,False
point of view,False
point out,False
police officer,False
police station,False
post office,False
potential for sth,False
prepared to do sth,False
pretty good,False
pretty much,False
primary school,False
prime minister,False
prior to,False
prove to be sth,False
public transport,False
put it,False
put sth forward,False
put sth on,True
put sth together,False
put sth up,False
quality of life,False
quite a lot,False
quite a…,False
raise money,False
ranging from,False
rather than,False
reaction to sth,True
really enjoy,False
really good,False
really like,False
reasons why,False
refer to sb/sth,False
regarded as sth,False
relate to sth/sb,False
related to sth/sb,False
relevant to sb/sth,False
rely on sb/sth,False
report on sth,False
respect for sb/sth,False
respond to sth/sb,False
result in sth,False
right now,False
rise in sth,False
role model,False
run out,False
run out of sth,False
save money,False
science fiction,False
search engine,False
search for sth/sb,False
secondary school,False
see you,False
seek to do sth,False
set out,False
set sth up,False
set to do sth,False
short of sth,False
sit down,False
slow down,False
so as to do sth,False
so far,False
so that…,False
solution to sth,False
some kind of…,False
someone else,False
something like…,False
sort of sth,False
sort sb/sth/yourself out,False
sound like sb/sth,False
speak to sb,False
spend time,False
stand up,False
start with sb/sth,False
stay in,False
stick to sth,False
subject to sth,False
succeed in doing sth,False
such a/an…,False
such as,False
suffer from sth,False
sum up,False
sure to do sth,False
swimming pool,False
take advantage of sb/sth,False
take care of sb/sth/yourself,False
take off,False
take over,False
take part,False
take place,False
take sth into account,False
take sth off,False
take sth up,False
take sth/sb on,False
take up sth,False
talk about sb/sth,False
tell the truth,False
tend to do sth,False
thank you,False
thanks to sb/sth,False
that day,False
that is,False
that's it,False
the 20th century,False
the best thing,False
the case,False
the extent to which…,False
the fact that…,False
the first thing,False
the following…,False
the important thing,False
the next day,False
the other side of sth,False
the rest of sth,False
the vast majority of sth,False
there is,False
these days,False
they say…,False
think about sb/sth,False
think of sb/sth,False
this is…,False
this kind of…,False
this morning,False
this time,False
this year,False
those who…,False
thousands of…,False
throw sth away,False
to date,False
to do with sb/sth,False
together with,False
too bad,False
too long,False
too much,False
town centre,False
try and…,False
turn into sth,False
turn out,False
turn sth off,False
turn sth on,False
turn sth up,False
tv show,False
unable to do sth,False
up against sth,False
up and down,False
up to sb,False
up to sth,False
wait for sb/sth,True
wake up,False
way of life,False
welcome to sth,False
well known,False
what about…?,False
when it comes to sth,False
whether or not…,False
why not…?,False
with regard to sb/sth,False
with respect to sth,False
with the exception of sb/sth,False
work as sth,False
work for sb/sth,False
work hard,False
work on sth,False
work out,False
work sth out,False
work together,False
work with sb,False
worried about sb/sth,False
would like,False
would love to do sth,False
would rather…,False
would you like…?,False
write sth down,False
wrong with sb/sth,False
x hours a day,False
x times a…,False
x years ago,False
x years later,False
x years old,False
you see,False
you're welcome,False
